date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:15	773/773	---MCZ	200	added ('OK')	text/css	etag:W/%225be04616-305%22	http://bankhar.mn/shopse/demos/css/components/reset.min.css	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/css/components/reset.min.css	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:16	101795/101795	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be0461b-18da3%22	http://bankhar.mn/shopse/demos/js/vendor/TweenMax.min.js	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/js/vendor/TweenMax.min.js	(from http://bankhar.mn/shopse/demos/index-11.html)
17:28:16	10996/10996	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad5-2af4%22	https://cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	C:/Users/admin/Desktop/Shopping/Shopping/cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:16	4836/4836	---MCZ	200	added ('OK')	text/css	etag:W/%225be04616-12e4%22	http://bankhar.mn/shopse/demos/css/components/split-slider.css	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/css/components/split-slider.css	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:18	778/778	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be0461b-30a%22	http://bankhar.mn/shopse/demos/js/vendor/split-slider.js	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/js/vendor/split-slider.js	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:26	44086/44086	---M--	200	added ('OK')	image/jpeg	etag:%225be0461c-ac36%22	http://bankhar.mn/shopse/demos/img/product/product-2/1.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product-2/1.jpg	(from http://bankhar.mn/shopse/demos/index-13.html)
17:28:39	74005/74005	---M--	200	added ('OK')	image/jpeg	etag:%225be0461c-12115%22	http://bankhar.mn/shopse/demos/img/product/product-2/2.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product-2/2.jpg	(from http://bankhar.mn/shopse/demos/index-13.html)
17:28:46	209367/209367	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-331d7%22	http://bankhar.mn/shopse/demos/img/portfolio/8.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/8.jpg	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:48	55013/55013	---M--	200	added ('OK')	image/jpeg	etag:%225be0461c-d6e5%22	http://bankhar.mn/shopse/demos/img/product/product-2/3.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product-2/3.jpg	(from http://bankhar.mn/shopse/demos/index-13.html)
17:28:56	44461/44461	---M--	200	added ('OK')	image/jpeg	etag:%225be0461c-adad%22	http://bankhar.mn/shopse/demos/img/product/product-2/5.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product-2/5.jpg	(from http://bankhar.mn/shopse/demos/index-13.html)
17:28:57	3019/3019	---MCZ	200	added ('OK')	text/css	etag:W/%225be04616-bcb%22	http://bankhar.mn/shopse/demos/css/video-popup.css	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/css/video-popup.css	(from http://bankhar.mn/shopse/demos/index-14.html)
17:28:58	273773/273773	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-42d6d%22	http://bankhar.mn/shopse/demos/img/portfolio/9.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/9.jpg	(from http://bankhar.mn/shopse/demos/index-12.html)
17:28:59	73451/73451	---M--	200	added ('OK')	image/jpeg	etag:%225be0461c-11eeb%22	http://bankhar.mn/shopse/demos/img/product/product-2/4.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/product-2/4.jpg	(from http://bankhar.mn/shopse/demos/index-13.html)
17:29:00	2805/2805	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be04616-af5%22	http://bankhar.mn/shopse/demos/js/video-popup.jquery.js	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/js/video-popup.jquery.js	(from http://bankhar.mn/shopse/demos/index-14.html)
17:29:00	42/42	---M--	200	added ('OK')	application/javascript	etag:%225be0461b-2a%22	http://bankhar.mn/shopse/demos/js/vendor/popupVideo.js	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/js/vendor/popupVideo.js	(from http://bankhar.mn/shopse/demos/index-14.html)
17:29:03	33913/33913	---M--	200	added ('OK')	image/jpeg	etag:%225be04617-8479%22	http://bankhar.mn/shopse/demos/img/bg/2.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/bg/2.jpg	(from http://bankhar.mn/shopse/demos/index-14.html)
17:29:03	220/220	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Jan%202019%2010:28:59%20GMT	http://bankhar.mn/shopse/demos/site.html	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/site.html	(from http://bankhar.mn/shopse/demos/index-15.html)
